ＣＤプレーヤー	シーディープレーヤー	CD player	
一義	いちぎ	one meaning	
一休み	ひとやすみ	(short) rest, breather, break	
一級	いっきゅう	one grade, first-class, primary	
一挙	いっきょ	one effort, one action	
一局	いっきょく	one game (of go, shogi, etc.)	
一曲	いっきょく	tune (melody, piece of music)	
一軍	いちぐん	an army	
一撃	いちげき	blow, hit, stroke	
１月	いちがつ	January	
一月	ひとつき	one month	
一件	いっけん	(one) matter, (one) item, (one) case	
一見	いっけん	look, glimpse, glance	
一軒	いっけん	one house	
一元	いちげん	unitary	
一元化	いちげんか	unification, centralization, centralisation	
一個	いっこ	one (thing), one piece, one item	
一戸建て	いっこだて	detached house, stand-alone house, single-family home	
一口	ひとくち	mouthful, morsel, bite	
一向	いっこう	completely, absolutely, totally	
一刻	いっこく	a moment, a minute, an instant	
一国	いっこく	one country	
一座	いちざ	the whole company, the party, all those present, everyone in attendance	
一冊	いっさつ	one copy (of a book, magazine, etc.), one volume	
一酸化炭素	いっさんかたんそ	carbon monoxide	
一字	いちじ	(one) letter, (one) character	
ひと時	ひととき	a (short) time, a while, moment	
一時間	いちじかん	one hour	
一時金	いちじきん	single amount (of money), one-off payment, lump sum	
一時的	いちじてき	temporary, transitory, short-lived	
一式	いっしき	(complete) set, outfit, kit, suite	
一室	いっしつ	one room	
一手	いって	one move (in go, shogi, etc.)	
一種	いっしゅ	a kind, a sort, a variety, a species	
一首	いっしゅ	one tanka, one poem	
一周年	いっしゅうねん	one full year	
一週間	いっしゅうかん	one week	
一瞬	いっしゅん	instant, moment, for an instant	
一緒	いっしょ	(doing) together	
一緒に	いっしょに	together (with)	
一助	いちじょ	(some small) help, an aid, some assistance	
一条	いちじょう	one line, one streak, one stripe, one ray (of light), one wisp (of smoke)	
一審	いっしん	first instance, first trial	
一心	いっしん	one mind	
一心に	いっしんに	wholeheartedly, single-mindedly, fervently, intently	
一新	いっしん	complete change, reform, restoration, remodeling, remodelling, renewal	
一身	いっしん	oneself, one's body	
一人で	ひとりで	alone, by oneself, on one's own	
一人前	いちにんまえ	one portion, one serving, one person	
一人息子	ひとりむすこ	only son	
一人物	いちじんぶつ	person to be reckoned with, person of importance	
一人歩き	ひとりあるき	taking on a life of its own (of a rumour, etc.)	
一人娘	ひとりむすめ	only daughter	
一寸	ちょっと	a little, a bit, slightly	
一生懸命	いっしょうけんめい	very hard, with utmost effort, as hard as one can, with all one's might, for dear life, eagerly, desperately	
一斉	いっせい	simultaneous, all at once	
一斉に	いっせいに	simultaneously, all at once, in unison	
一昔	ひとむかし	an age (ago), a long time (ago), a decade (ago)	
一石	いっせき	one game (of go)	
一石二鳥	いっせきにちょう	killing two birds with one stone	
一切	いっさい	all, everything, entirety, the whole	
１０００	いっせん	1,000, one thousand	
一戦	いっせん	battle, game, bout	
一線	いっせん	line	
一層	いっそう	even more, still more, all the more, more than ever	
一掃	いっそう	clean sweep, purging, doing away with, eradication	
一息	ひといき	one breath	
一足	いっそく	a pair (of shoes or socks)	
一足	ひとあし	a step	
一族	いちぞく	family, relatives, dependents	
一打	いちだ	stroke, blow	
一体	いったい	(what) the heck, (why) in the world, (who) on earth	
１対１	いちたいいち	one-to-one, one-on-one	
一帯	いったい	whole area, whole region	
一代	いちだい	generation, lifetime, age	
一台	いちだい	one machine, one vehicle	
一大	いちだい	one large ..., a great ...	
一旦	いったん	once	
一端	いったん	one end, an end	
一団	いちだん	body, group, party, gang, troupe, troop	
一段	いちだん	even more, still more, much more, further	
一段落	いちだんらく	reaching a stopping place, settling down (before the next stage), getting to a point where one can rest, completing the first stage (of the work)	
一男	いちなん	boy, eldest son	
一致	いっち	agreement, accord, correspondence, consistency, coincidence, match	
一着	いっちゃく	first place (in a race), first to arrive	
一丁	いっちょう	one leaf (of a book bound in Japanese style)	
一直線	いっちょくせん	straight line	
一通	いっつう	one copy (of a document), one letter	
一通り	ひととおり	generally, in the main, briefly (look over, explain, etc.), roughly, more or less	
一定	いってい	to fix, to settle, to standardize, to regularize	
一点	いってん	point, dot, speck	
一党	いっとう	one party, one faction, one clique	
一等	いっとう	first class, first rank, first grade, first place, first prize	
一同	いちどう	all present, all concerned, all of us	
一堂	いちどう	one building (hall, temple, shrine, room)	
一日中	いちにちじゅう	all day long, all the day, throughout the day	
一任	いちにん	entrusting (everything to), leaving (a matter) entirely with	
一年間	いちねんかん	(period of) one year	
一年生	いちねんせい	first-year student, first-year pupil	
一年中	いちねんじゅう	all year round	
一派	いっぱ	one school, one sect, one denomination	
一敗	いっぱい	one defeat	
一杯	いっぱい	one cup (of), one glass (of), one bowl (of), cupful, glassful, bowlful, spoonful	
一倍	いちばい	multiplying by one, original amount	
一泊	いっぱく	(staying) one night, overnight stay	
一発	いっぱつ	one shot, one charge, one explosion	
一般	いっぱん	general, universal	
一般に	いっぱんに	generally, in general, widely, commonly, universally	
一般人	いっぱんじん	ordinary person, member of the general public, non-celebrity	
一般的	いっぱんてき	general, popular, common, typical	
一晩	ひとばん	one night, one evening	
一番	いちばん	number one, first, first place	
一番手	いちばんて	first person (to do), person going first	
一番乗り	いちばんのり	first rider in a charge	
一匹	いっぴき	one (small animal)	
一票	いっぴょう	one vote, one ballot	
一品	いっぴん	item, article	
一部	いちぶ	one part, one portion, one section	
一部分	いちぶぶん	one part, one portion, one section	
一風	いっぷう	oddity, eccentricity, peculiarity	
一分	いちぶ	one tenth, one hundredth, one percent, one tenth of a sun, one quarter ryō (an old coin)	
一文	いちもん	tiny amount of money, a penny, a cent, a farthing	
一変	いっぺん	complete change, about-face	
一辺倒	いっぺんとう	complete devotion (to), total commitment (to), unvarying support (for), unwavering fixation (on), rigid preoccupation (with)	
一遍	いっぺん	once, one time	
一歩	いっぽ	(a) step, one step	
一方	いっぽう	one (esp. of two), the other, one way, the other way, one direction, the other direction, one side, the other side, one party, the other party	
一方通行	いっぽうつうこう	one-way traffic	
一方的	いっぽうてき	one-sided, unilateral, arbitrary	
一本	いっぽん	one long cylindrical thing, one film, TV show, etc., one goal, home run, etc., one telephone call	
一枚	いちまい	one (thin, flat object), one sheet	
一枚岩	いちまいいわ	monolith, large slab of rock	
一幕	ひとまく	one act (of a play)	
一抹	いちまつ	a touch (of sadness, unease, etc.), a tinge (of), a hint (of), a wreath (of smoke, cloud, etc.)	
一面	いちめん	one face, one surface	
一目	ひとめ	glance, look, glimpse	
一門	いちもん	family, clan, kin	
一躍	いちやく	suddenly (rising to fame, etc.), instantly, immediately, overnight	
一様	いちよう	uniform, equal, even, the same, identical	
一翼	いちよく	one wing	
一覧	いちらん	look, glance, sight, having a look at, looking over, glancing through, running one's eyes over	
一覧表	いちらんひょう	list, table, schedule, catalogue, catalog	
一里塚	いちりづか	milestone (1 ri apart)	
一律	いちりつ	uniform, even, across-the-board, equal	
一流	いちりゅう	first-class, first-rate, top-flight, top-ranking, leading, eminent, top	
一両	いちりょう	one vehicle	
一塁	いちるい	first base	
一例	いちれい	example, an instance	
一連	いちれん	series, chain, sequence	
溢れる	あふれる	to overflow, to brim over, to flood	
逸らす	そらす	to turn away (one's eyes, face, etc.), to avert, to divert (e.g. one's attention), to evade (e.g. a question), to change (e.g. the subject)	
いち早く	いちはやく	promptly, quickly, without delay	
逸脱	いつだつ	deviation, departure	
逸品	いっぴん	excellent article, fine item, rare beauty, masterpiece, gem	
逸話	いつわ	anecdote, story, episode	
稲	いね	rice plant (Oryza sativa)	
稲刈り	いねかり	rice reaping, rice harvesting	
稲妻	いなずま	lightning, flash of lightning, lightning bolt	
稲作	いなさく	rice cultivation, rice crop	
稲穂	いなほ	ear (head) of rice	
芋	いも	tuber, taro, potato, yam	
印	いん	stamp, seal, chop	
印	しるし	mark, sign	
印鑑	いんかん	stamp, seal	
印刷	いんさつ	printing	
印紙	いんし	(revenue) stamp	
印象	いんしょう	impression	
印象的	いんしょうてき	impressive, striking, memorable, impactful	
印税	いんぜい	royalty (on book)	
員	いん	member	
員数	いんずう	(total) number (of people or things), count, quota	
因	いん	cause, factor	
因みに	ちなみに	by the way, in this connection, incidentally, in passing	
依る	よる	to be due to, to be caused by	
因縁	いんねん	fate, destiny	
因果	いんが	cause and effect, causality	
因子	いんし	factor	
惹かれる	ひかれる	to be charmed by, to be attracted to, to be taken with, to be drawn to	
引き下げ	ひきさげ	reduction, cut	
引き起こす	ひきおこす	to cause, to induce, to bring about, to provoke	
引き継ぐ	ひきつぐ	to take over (someone's duties, business, etc.), to inherit, to succeed to, to carry on (a tradition), to continue	
引き取る	ひきとる	to take into one's possession, to receive, to accept, to collect, to claim	
引きずる	ひきずる	to drag, to trail, to pull along the ground, to lug	
引き締まる	ひきしまる	to become tense, to be tightened, to become firm (e.g. body)	
引き抜く	ひきぬく	to extract, to pull out, to draw out, to uproot	
引き分け	ひきわけ	draw (in competition), tie game	
引き返す	ひきかえす	to turn back, to go back, to come back, to return, to retrace one's steps	
引き戻す	ひきもどす	to bring back, to restore	
引き離す	ひきはなす	to pull apart, to separate	
引き裂く	ひきさく	to tear up, to tear off, to rip up, to tear to pieces	
引く	ひく	to pull, to tug, to lead (e.g. a horse)	
引け目	ひけめ	sense of inferiority, one's weak point	
ひっくり返る	ひっくりかえる	to be overturned, to be reversed, to turn over, to capsize	
引っ越す	ひっこす	to move (house), to change residence	
引っかかる	ひっかかる	to be caught in, to be stuck in	
引っ掛ける	ひっかける	to hang (something) on (something), to throw on (clothes)	
引っ込む	ひっこむ	to draw back, to sink, to cave in	
引責	いんせき	taking responsibility	
引退	いんたい	retirement	
引用	いんよう	quotation, citation, reference	
引力	いんりょく	attraction (e.g. magnetic, gravitation), affinity, gravitational pull	
飲む	のむ	to drink, to swallow, to take (medicine)	
飲酒	いんしゅ	drinking alcohol	
飲酒運転	いんしゅうんてん	drunk driving, drink-driving, driving while intoxicated, drinking and driving, driving under the influence (of alcohol)	
飲食	いんしょく	food and drink, eating and drinking	
飲食店	いんしょくてん	restaurant	
飲料	いんりょう	beverage, drink	
飲料水	いんりょうすい	drinking water	
院長	いんちょう	director (of a hospital, institution, academy, etc.), superintendent, rector	
陰気	いんき	gloomy, dismal, miserable, melancholy	
陰口	かげぐち	malicious gossip, backbiting, speaking ill behind someone's back	
陰性	いんせい	negative (result)	
陰謀	いんぼう	plot, intrigue, scheme	
隠し引き出し	かくしひきだし	secret drawer, hidden drawer	
隠す	かくす	to hide, to conceal	
隠れる	かくれる	to hide, to conceal oneself, to take cover	
隠居	いんきょ	retirement (from work), leading a quiet life (after retirement)	
隠語	いんご	secret language, jargon, cant, argot, slang	
隠匿	いんとく	concealment (esp. of wrongdoings or criminals), sheltering, harboring	
隠滅	いんめつ	destruction (esp. of evidence), spoliation, suppression	
韻	いん	rhyme	
韻律	いんりつ	metre (of a poem), meter, rhythm	
右	みぎ	right, right-hand side	
右往左往	うおうさおう	moving about in confusion, going every which way, going this way and that	
右下	みぎした	lower right	
右手	みぎて	right hand	
右上	みぎうえ	upper right	
右折	うせつ	turning to the right, right turn	
右足	みぎあし	right foot	
右派	うは	right wing	
右方	うほう	right side	
右翼	うよく	right wing	
右腕	みぎうで	right arm	
宇宙	うちゅう	universe, cosmos, space	
宇宙空間	うちゅうくうかん	(outer) space	
宇宙飛行士	うちゅうひこうし	astronaut	
烏	カラス	crow (Corvus spp.), raven	
烏賊	イカ	cuttlefish, squid	
羽	はね	feather, plume, down	
羽衣	はごろも	angel's raiment, robe of feathers	
羽織	はおり	haori (Japanese formal coat)	
羽毛	うもう	feather, plume, plumage, down	
羽目	はめ	panel, wainscoting, wainscotting	
雨	あめ	rain	
雨雲	あまぐも	rain cloud	
雨具	あまぐ	rain gear	
雨戸	あまど	sliding storm shutter	
雨宿り	あまやどり	taking shelter from rain	
雨天	うてん	rainy weather	
雨量	うりょう	(amount of) rainfall	
雨漏り	あまもり	roof leak	
丑	うし	the Ox (second sign of the Chinese zodiac)	
渦	うず	whirlpool, swirl, eddy, vortex, maelstrom	
渦巻き	うずまき	whirlpool, maelstrom, vortex, eddy, swirl	
渦中	かちゅう	vortex, maelstrom, whirlpool	
嘘	うそ	lie, fib, falsehood, untruth	
嘘つき	うそつき	liar, fibber	
鰻	うなぎ	eel (esp. the Japanese eel, Anguilla japonica)	
浦	うら	inlet	
噂	うわさ	rumour, rumor, report, hearsay, gossip, common talk	
運	うん	fortune, luck, chance	
運ぶ	はこぶ	to carry, to transport, to move, to convey	
運良く	うんよく	luckily	
運営	うんえい	management, administration, operation	
運河	うんが	(navigable) canal, waterway	
運休	うんきゅう	suspension (of a transportation service), cancellation, stoppage	
運航	うんこう	operation (of a ship or aircraft route), service, navigation, flight	
運行	うんこう	operation (of a bus or train service), service, running	
運賃	うんちん	(passenger) fare	
運転	うんてん	operation (of a machine), running, working	
運転士	うんてんし	(professional) driver (of a taxi, train, etc.), motorman	
運転手	うんてんしゅ	driver, chauffeur	
運転免許	うんてんめんきょ	driver's license, driver's licence, driving licence	
運動	うんどう	exercise, physical training, workout, sports, athletics	
運動会	うんどうかい	athletic meet (esp. at a school), sports day, field day, sports festival	
運動場	うんどうじょう	sports ground, playing field, playground	
運動不足	うんどうぶそく	lack of physical exercise, insufficient exercise, inactivity	
運搬	うんぱん	transport, transportation, conveyance, carriage	
運命	うんめい	fate, destiny, lot	
運輸	うんゆ	transportation	
運輸省	うんゆしょう	Ministry of Transport	
運用	うんよう	making use of, application, practical use, effective management (e.g. of funds)	
雲	くも	cloud	
雲行き	くもゆき	weather, look of the sky	
雲泥の差	うんでいのさ	wide difference, a world of difference	
餌	えさ	(animal) feed, fodder, pet food	
営み	いとなみ	activity, action, performance, execution	
営む	いとなむ	to run (a business), to operate, to conduct, to practice (law, medicine, etc.)	
営業	えいぎょう	business, trade, operations	
営業マン	えいぎょうマン	salesman, businessman	
営業時間	えいぎょうじかん	business hours, opening hours, office hours	
営繕	えいぜん	maintenance and repair, upkeep (of equipment)	
営団	えいだん	corporation, foundation	
営利	えいり	money-making, commercialized, commercialised	
影絵	かげえ	shadow picture, silhouette, shadowgraph	
影響	えいきょう	influence, effect, impact	
影響力	えいきょうりょく	influence, clout, leverage	
映る	うつる	to be reflected, to harmonize with (harmonise), to come out (photo), to be projected, to be displayed (on a screen)	
映画	えいが	movie, film, motion picture	
映画館	えいがかん	movie theatre, movie theater, cinema	
映像	えいぞう	image (on a screen), picture (e.g. on a TV)	
栄える	さかえる	to prosper, to flourish, to thrive	
栄冠	えいかん	laurels, garland	
栄枯	えいこ	vicissitudes, ups and downs	
栄光	えいこう	glory	
栄誉	えいよ	honour, honor	
栄養	えいよう	nutrition, nourishment	
栄養士	えいようし	dietitian, (licensed) nutritionist	
栄養失調	えいようしっちょう	malnutrition	
栄養素	えいようそ	nutrient	
永遠	えいえん	eternity, perpetuity, permanence, immortality	
永住	えいじゅう	permanent residence	
永続	えいぞく	permanence, continuation	
永代	えいたい	permanence, eternity	
泳ぐ	およぐ	to swim	
英会話	えいかいわ	English conversation	
英気	えいき	great wisdom, excellent disposition	
英語	えいご	English (language)	
英国	えいこく	United Kingdom, Britain, Great Britain	
英字	えいじ	English letter, alphabetic character	
英数字	えいすうじ	alphanumeric character, letters (of the English alphabet) and numbers	
英単語	えいたんご	English word	
英文	えいぶん	English writing, English sentence, English text	
英文学	えいぶんがく	English(-language) literature	
英訳	えいやく	English translation	
英雄	えいゆう	hero, heroine, great person	
英和	えいわ	English-Japanese	
衛星	えいせい	(natural) satellite, moon	
衛生	えいせい	hygiene, sanitation, health	
詠む	よむ	to compose (a Japanese poem), to write, to use as the theme of a poem	
鋭い	するどい	sharp (knife, claws, etc.), pointed	
鋭角	えいかく	acute angle	
鋭敏	えいびん	sharp (eyes, ears, etc.), keen, acute, sensitive	
鋭利	えいり	sharp, keen, acute	
液	えき	liquid, fluid	
液化	えきか	liquefaction	
液晶	えきしょう	liquid crystal	
液体	えきたい	liquid	
駅	えき	railway station, train station	
駅員	えきいん	(train) station attendant, station employee, station staff	
駅前	えきまえ	in front of a station	
駅長	えきちょう	station master	
駅伝	えきでん	long-distance relay race	
駅弁	えきべん	boxed lunch bought at a station (often a local specialty)	
越す	こす	to cross over (e.g. mountain), to go across	
越境	えっきょう	crossing a border (illegally), border violation, border transgression	
越権	えっけん	going beyond authority, unauthorized, unauthorised, ultra vires	
越冬	えっとう	passing the winter, hibernation	
越年	えつねん	seeing the old year out, greeting the New Year, passing the winter, hibernation	
閲覧	えつらん	inspection, reading, perusal	
円	えん	yen (Japanese monetary unit)	
円安	えんやす	depreciation of the yen, weak yen	
円建て	えんだて	yen basis (for trade, exchange, etc.)	
円弧	えんこ	arc	
円高	えんだか	appreciation of the yen, strong yen	
円周	えんしゅう	circumference	
円熟	えんじゅく	ripeness, mellowness, maturity	
円卓	えんたく	round table	
円柱	えんちゅう	column, shaft, cylinder	
円筒	えんとう	cylinder	
円盤	えんばん	disk, discus, platter	
円満	えんまん	harmonious, peaceful, happy, amicable, smooth, free from trouble	
園	その	garden, orchard, park	
園芸	えんげい	horticulture, gardening	
園児	えんじ	kindergarten pupil, kindergartener	
園長	えんちょう	head of a garden, kindergarten principal, nursery school principal, park director, zoo director, head of a plantation	
宴	うたげ	party, banquet, feast	
宴会	えんかい	party, banquet, reception, feast, dinner	
宴席	えんせき	banquet, dinner party	
延べ	のべ	futures	
延期	えんき	postponement, deferment, adjournment	
延滞	えんたい	arrears, (being) overdue, delay (e.g. in payment), procrastination	
延長	えんちょう	extension, elongation, prolongation, lengthening	
延命	えんめい	keeping alive longer, prolonging life, life extension, life-support	
援軍	えんぐん	reinforcement	
援助	えんじょ	assistance, aid, support	
沿う	そう	to run along, to run beside, to stick to (a line)	
沿って	そって	along, by, parallel to	
沿海	えんかい	sea along the coast, coastal waters, inshore waters	
沿革	えんかく	history, development	
沿岸	えんがん	coast, shore	
沿線	えんせん	places alongside a railway line, bus route, major thoroughfare, etc.	
沿道	えんどう	roadside, wayside, route	
演じる	えんじる	to act (a part), to play (a role)	
演ずる	えんずる	to act (a part), to play (a role)	
演歌	えんか	enka, traditional-style Japanese popular ballad	
演技	えんぎ	acting, performance	
演芸	えんげい	entertainment, performance	
演劇	えんげき	drama, theatre, theater, play	
演算	えんざん	operation, calculation	
演習	えんしゅう	practice, exercise, drill	
演出	えんしゅつ	direction (of a play, film, etc.), production	
演説	えんぜつ	speech, address	
演奏会	えんそうかい	concert, recital	
演壇	えんだん	rostrum, platform	
演目	えんもく	program (musical, concert, theatrical, etc.), programme	
炎	ほのお	flame, blaze	
炎症	えんしょう	inflammation, irritation	
炎上	えんじょう	going up in flames, destruction by fire (esp. of a large building)	
炎天	えんてん	blazing heat, scorching sun	
煙	けむり	smoke, fumes	
煙い	けむい	smoky	
煙たい	けむたい	smoky	
煙る	けむる	to smoke (e.g. fire), to billow smoke, to smoulder, to smolder	
煙突	えんとつ	chimney, smokestack, funnel (of a ship), stovepipe	
燕	つばめ	swallow (bird of the Hirundinidae family), martin	
猿	さる	monkey (esp. the Japanese macaque, Macaca fuscata), ape, non-human primate	
縁	ふち	rim, brim, edge, brink	
縁起	えんぎ	omen, sign of luck	
縁側	えんがわ	engawa, external corridor on the outer side of traditional Japanese houses	
縁談	えんだん	marriage proposal, marriage talks	
艶	つや	gloss, luster, lustre, shine, sheen, polish	
遠い	とおい	far, distant, far away, a long way off, in the distance	
遠く	とおく	far away, distant place, a (great) distance, a long way off, afar	
遠ざかる	とおざかる	to go away, to become more distant, to fade away, to die away	
遠泳	えんえい	long-distance swimming	
遠隔	えんかく	distant, remote, isolated	
遠距離	えんきょり	long distance, tele-	
遠近法	えんきんほう	perspective	
遠心力	えんしんりょく	centrifugal force	
遠征	えんせい	(military) expedition, campaign	
遠浅	とおあさ	shoal, wide shallow beach	
遠足	えんそく	school trip, field trip, excursion, outing	
遠方	えんぽう	distant place, faraway location, far away	
遠慮	えんりょ	reserve, constraint, restraint, modesty, diffidence, hesitation, holding back, discretion, tact, thoughtfulness	
鉛	なまり	lead (Pb)	
鉛筆	えんぴつ	pencil	
塩化	えんか	chloridation, salification	
塩基	えんき	base	
塩酸	えんさん	hydrochloric acid	
塩素	えんそ	chlorine (Cl)	
塩田	えんでん	saltpan, field for drying salt	
塩分	えんぶん	salt, salt content	
塩味	しおあじ	salty taste, saltiness	
汚い	きたない	dirty, filthy, foul, unclean	
汚す	よごす	to pollute, to contaminate, to soil, to make dirty, to stain	
汚れる	よごれる	to get dirty, to become dirty	
汚職	おしょく	corruption (esp. by a government employee), bribery, graft	
汚水	おすい	filthy water, sewage	
汚染	おせん	pollution, contamination	
汚濁	おだく	pollution, contamination, corruption, graft	
汚点	おてん	stain, blot, flaw, disgrace	
汚物	おぶつ	filth (esp. excrement, feces, urine), muck, waste, garbage, dirt, dust	
汚名	おめい	bad name, bad reputation, disgrace, dishonour, dishonor, stigma, infamy	
甥	おい	nephew	
凹む	へこむ	to be dented, to be indented, to yield, to give, to sink, to collapse, to cave in	
凹凸	おうとつ	unevenness, bumpiness, roughness, ruggedness	
奥	おく	inner part, interior, back (of a drawer, one's throat, etc.), depths (e.g. of a forest), recesses (e.g. of a cave), heart, end (of a road, garden, etc.)	
奥さん	おくさん	wife, your wife, his wife, married lady, madam	
奥行き	おくゆき	depth, length	
奥山	おくやま	remote mountain, mountain recesses	
奥様	おくさま	wife, your wife, his wife, married lady, madam	
往診	おうしん	doctor's visit, house call	
往生	おうじょう	passing on to the next life	
往年	おうねん	years gone by, earlier years, former years, the past	
往復	おうふく	making a round trip, going and returning, coming and going	
往来	おうらい	coming and going, traffic	
応える	こたえる	to respond, to answer, to meet (e.g. demands, expectations)	
応じる	おうじる	to respond, to satisfy, to accept, to comply with, to apply for	
応援	おうえん	aid, assistance, help, support, reinforcement	
応急	おうきゅう	emergency, first-aid	
応酬	おうしゅう	exchange (of words, views, punches, cups, etc.), give-and-take	
応召	おうしょう	responding to a call-up for military service, answering a call-up	
応接	おうせつ	reception (e.g. of visitors), dealing with	
応対	おうたい	dealing with (people, customers, complaints, etc.), receiving (callers, visitors, etc.), attending to, handling, serving	
応答	おうとう	reply, answer, response	
応分	おうぶん	according to one's abilities, appropriate, reasonable	
応募	おうぼ	application, subscription, entry (competition, raffle, etc.), enlistment	
応募者	おうぼしゃ	applicant	
応用	おうよう	(practical) application, putting to practical use	
押し	おし	push, pushing	
押し込む	おしこむ	to push into, to cram into, to stuff into, to crowd into	
押し切る	おしきる	to overcome (opposition), to push past, to force one's way	
押し入る	おしいる	to push in, to force into, to break in (e.g. into a house), to intrude	
押し付ける	おしつける	to press against, to push against, to force against	
押し問答	おしもんどう	arguing back and forth, bandying words, verbal tug-of-war	
押す	おす	to push, to thrust, to shove	
押収	おうしゅう	seizure, confiscation	
旺盛	おうせい	lively, vigorous, energetic, healthy, avid (e.g. desire), rich (e.g. imagination)	
横	よこ	horizontal (as opposed to vertical)	
横たわる	よこたわる	to lie down, to stretch out	
横顔	よこがお	profile, face in profile, face seen from the side	
横綱	よこづな	yokozuna (highest rank in sumo), grand champion	
横行	おうこう	being rampant, being widespread, being prevalent	
横取り	よこどり	snatching, stealing, seizure, usurpation	
横書き	よこがき	writing horizontally, horizontal writing	
横切る	よこぎる	to cross (e.g. road), to traverse	
横線	おうせん	horizontal line	
横断	おうだん	crossing (a road, river, etc.), cutting through (e.g. of a river through a town), cutting across, intersecting (e.g. a railway track)	
横断歩道	おうだんほどう	pedestrian crossing, crosswalk	
横着	おうちゃく	laziness, shirking	
横転	おうてん	toppling sideways, turning sideways, falling over sideways	
横道	よこみち	byway, side street, cross street	
横幅	よこはば	breadth, width	
横文字	よこもじ	horizontal script (esp. of a European language), European writing, Roman letters	
横柄	おうへい	arrogant, haughty, insolent	
横暴	おうぼう	violence, oppression, high-handedness, tyranny, despotism	
横目	よこめ	sidelong glance	
横領	おうりょう	embezzlement, misappropriation, usurpation	
欧州	おうしゅう	Europe	
殴り込み	なぐりこみ	raid, attack, assault	
殴る	なぐる	to strike, to hit, to beat, to punch	
殴打	おうだ	hit, strike, blow	
王位	おうい	the throne, the crown	
王冠	おうかん	crown, diadem	
王宮	おうきゅう	royal palace	
王国	おうこく	kingdom, monarchy	
王座	おうざ	throne	
王子	おうじ	prince	
王室	おうしつ	royal family	
王者	おうじゃ	king, monarch, ruler	
王手	おうて	check	
王女	おうじょ	princess	
王将	おうしょう	king (of the senior player)	
王族	おうぞく	royalty, royal family	
王朝	おうちょう	dynasty	
王妃	おうひ	queen (consort), empress (consort)	
王様	おうさま	king	
王立	おうりつ	royal (institution)	
襖	ふすま	fusuma, Japanese sliding screen	
鴎	カモメ	common gull (Larus canus)	
黄金	おうごん	gold (Au)	
黄金時代	おうごんじだい	golden age	
黄色い	きいろい	yellow	
黄身	きみ	egg yolk	
沖	おき	open sea	
沖縄	おきなわ	Okinawa (city, prefecture)	
荻	おぎ	Amur silvergrass (Miscanthus sacchariflorus)	
億	おく	hundred million, 100,000,000, 10^8	
屋外	おくがい	outdoors, outside	
屋根	やね	roof	
屋上	おくじょう	rooftop	
屋台	やたい	cart (esp. a food cart), stall, stand	
屋内	おくない	indoors	
臆病	おくびょう	cowardly, timid, easily frightened	
桶	おけ	bucket, pail, tub	
牡蠣	かき	oyster, oyster shell	
乙	おつ	(the) second (party, rank, etc.), B (grade), the latter	
卸す	おろす	to sell wholesale	
恩	おん	favour, favor, obligation, debt of gratitude	
恩給	おんきゅう	pension (esp. public servant's)	
恩恵	おんけい	grace, favor, favour, blessing, benefit	
恩師	おんし	teacher (to whom one owes a debt of gratitude), mentor, one's former teacher	
恩賜	おんし	Imperial gift	
恩赦	おんしゃ	amnesty, pardon	
恩人	おんじん	benefactor, patron, person to whom one owes a great deal, person to whom one is (deeply) indebted	
恩知らず	おんしらず	ungrateful	
恩返し	おんがえし	paying back a favour, repayment (of an obligation, kindness, etc.)	
温い	ぬるい	lukewarm, tepid	
温もり	ぬくもり	warmth	
温厚	おんこう	gentle, mild-mannered	
温室	おんしつ	greenhouse, hothouse, conservatory, glasshouse	
温床	おんしょう	hotbed, breeding ground	
温泉	おんせん	hot spring	
温存	おんぞん	preservation, retainment, keeping	
温帯	おんたい	temperate zone	
温暖	おんだん	warm, mild, temperate	
温度	おんど	temperature	
温度計	おんどけい	thermometer	
穏やか	おだやか	calm, quiet, gentle, peaceful, mild	
穏健	おんけん	moderate (view, politics, etc.), temperate, sensible, sober, non-radical	
穏当	おんとう	proper, reasonable, right, appropriate	
穏便	おんびん	gentle, peaceable, amicable, quiet	
音階	おんかい	scale	
音楽	おんがく	music	
音響	おんきょう	sound, noise, audio, acoustics, reverberation	
音訓	おんくん	kanji readings	
音質	おんしつ	tone quality, sound quality	
音声	おんせい	voice, speech, sound of a voice	
音程	おんてい	interval, step	
音頭	おんど	lead (in a cheer, toast, song, etc.), (someone's) lead	
音読	おんどく	reading aloud	
音読み	おんよみ	on reading, on'yomi, Chinese-derived reading of a kanji	
音符	おんぷ	musical note, note symbol	
音量	おんりょう	volume (sound)	
下	した	below, down, under, younger (e.g. daughter)	
下がる	さがる	to come down, to go down, to fall, to drop, to sink, to get lower	
下げる	さげる	to hang, to suspend, to wear (e.g. decoration)	
下さい	ください	please (give me)	
下さる	くださる	to give, to confer, to bestow	
下す	くだす	to make a decision, to draw a conclusion	
下っ腹	したっぱら	abdomen, stomach, under parts	
下らない	くだらない	trivial, trifling, insignificant, not worth bothering with, worthless, useless, good-for-nothing	
下り	くだり	down-train, train heading toward the ending point of its route	
下り坂	くだりざか	downhill, downward slope, descent	
下る	くだる	to descend, to go down, to come down	
下位	かい	low rank, lower position, subordinate position, lower order (e.g. byte)	
下院	かいん	lower house, lower legislative chamber	
下火	したび	burning low, waning, declining	
下界	げかい	the earth below, the ground below	
下期	しもき	second half of the (fiscal) year	
下記	かき	the following	
下級	かきゅう	lower grade, low class, junior (officer)	
